time_us,encoder_value
14774536, 1073079
14784545, 1074027
14794555, 1074974
14804565, 1075921
14814575, 1076870
14824584, 1077819
14834594, 1078766
14844604, 1079710
14854614, 1080657
14864624, 1081603
14874633, 1082550
14884643, 1083498
14894653, 1084449
14904663, 1085399
14914672, 1086349
14924682, 1087299
14934692, 1088243
14944702, 1089192
14954711, 1090139
14964721, 1091085
14974731, 1092032
14984741, 1092981
14994750, 1093930
15004760, 1094877
15014770, 1095824
15024780, 1096774
15034790, 1097721
15044799, 1098670
15054809, 1099620
15064819, 1100570
15074829, 1101520
15084838, 1102470
15094848, 1103419
15104858, 1104363
15114868, 1105310
15124877, 1106257
15134887, 1107204
15144897, 1108152
15154907, 1109103
15164916, 1110054
15174926, 1111004
15184936, 1111955
15194946, 1112901
15204956, 1113854
15214965, 1114801
15224975, 1115750
15234985, 1116700
15244995, 1117649
15255004, 1118600
15265014, 1119550
15275024, 1120495
15285034, 1121443
15295043, 1122393
15305053, 1123342
15315063, 1124291
15325073, 1125245
15335083, 1126197
15345092, 1127149
15355102, 1128099
15365112, 1129047
15375122, 1129997
15385131, 1130945
15395141, 1131894
15405151, 1132844
15415161, 1133794
15425170, 1134746
15435180, 1135699
15445190, 1136647
15455200, 1137594
15465209, 1138547
15475219, 1139499
15485229, 1140449
15495239, 1141399
15505249, 1142351
15515258, 1143302
15525268, 1144252
15535278, 1145202
15545288, 1146153
15555297, 1147101
15565307, 1148052
15575317, 1149002
15585327, 1149955
15595336, 1150908
15605346, 1151862
15615356, 1152813
15625366, 1153758
15635375, 1154707
15645385, 1155659
15655395, 1156608
15665405, 1157557
15675415, 1158509
15685424, 1159461
15695434, 1160412
15705444, 1161361
15715454, 1162314
15725463, 1163264
15735473, 1164214
15745483, 1165165
15755493, 1166118
15765502, 1167069
15775512, 1168021
15785522, 1168973
15795532, 1169921
15805541, 1170872
15815551, 1171822
15825561, 1172772
15835571, 1173721
15845581, 1174675
15855590, 1175629
15865600, 1176582
15875610, 1177532
15885620, 1178480
15895629, 1179434
15905639, 1180384
15915649, 1181334
15925659, 1182286
15935668, 1183237
